,exp,cdf,chemi
236,0.0,0.011287005595676502,000084-74-2
237,0.0,0.011334831890573438,000084-74-2
238,0.0,0.011382658185470372,000084-74-2
239,0.0,0.011430484480367306,000084-74-2
240,0.0,0.01147831077526424,000084-74-2
241,0.0,0.011526137070161174,000084-74-2
242,0.0,0.011573963365058108,000084-74-2
243,0.0,0.011621789659955042,000084-74-2
244,0.0,0.011669615954851978,000084-74-2
245,0.0,0.011717442249748912,000084-74-2
246,0.0,0.011765268544645846,000084-74-2
247,0.0,0.01181309483954278,000084-74-2
248,0.0,0.011860921134439715,000084-74-2
249,0.0,0.011908747429336649,000084-74-2
250,0.0,0.011956573724233584,000084-74-2
251,0.0,0.012004400019130518,000084-74-2
252,0.0,0.012052226314027453,000084-74-2
253,0.0,0.012100052608924387,000084-74-2
254,0.0,0.01214787890382132,000084-74-2
255,0.0,0.012195705198718255,000084-74-2
256,0.0,0.012243531493615189,000084-74-2
257,0.0,0.012291357788512125,000084-74-2
258,0.0,0.012339184083409059,000084-74-2
259,0.0,0.012387010378305993,000084-74-2
260,0.0,0.012434836673202927,000084-74-2
261,0.0,0.012482662968099861,000084-74-2
262,0.0,0.012530489262996795,000084-74-2
263,0.0,0.012578315557893729,000084-74-2
264,0.0,0.012626141852790665,000084-74-2
265,0.0,0.012673968147687599,000084-74-2
266,0.0,0.012721794442584533,000084-74-2
267,0.0,0.012769620737481467,000084-74-2
268,0.0,0.012817447032378401,000084-74-2
269,0.0,0.012865273327275335,000084-74-2
270,0.0,0.012913099622172271,000084-74-2
271,0.0,0.012960925917069205,000084-74-2
272,0.0,0.01300875221196614,000084-74-2
273,0.0,0.013056578506863073,000084-74-2
274,0.0,0.013104404801760007,000084-74-2
275,0.0,0.013152231096656941,000084-74-2
276,0.0,0.013200057391553876,000084-74-2
277,0.0,0.013247883686450811,000084-74-2
278,0.0,0.013295709981347745,000084-74-2
279,0.0,0.01334353627624468,000084-74-2
280,0.0,0.013391362571141614,000084-74-2
281,0.0,0.013439188866038548,000084-74-2
282,0.0,0.013487015160935482,000084-74-2
283,0.0,0.013534841455832416,000084-74-2
284,0.0,0.013582667750729352,000084-74-2
285,0.0,0.013630494045626286,000084-74-2
286,0.0,0.01367832034052322,000084-74-2
287,0.0,0.013726146635420154,000084-74-2
288,0.0,0.013773972930317088,000084-74-2
289,0.0,0.013821799225214022,000084-74-2
290,0.0,0.013869625520110958,000084-74-2
291,0.0,0.013917451815007892,000084-74-2
292,0.0,0.013965278109904826,000084-74-2
293,0.0,0.01401310440480176,000084-74-2
294,0.0,0.014060930699698694,000084-74-2
295,0.0,0.014108756994595628,000084-74-2
296,0.0,0.014156583289492562,000084-74-2
297,0.0,0.014204409584389498,000084-74-2
298,0.0,0.014252235879286432,000084-74-2
299,0.0,0.014300062174183366,000084-74-2
300,0.0,0.0143478884690803,000084-74-2
301,0.0,0.014395714763977234,000084-74-2
302,0.0,0.014443541058874168,000084-74-2
303,0.0,0.014491367353771104,000084-74-2
304,0.0,0.014539193648668038,000084-74-2
305,0.0,0.014587019943564972,000084-74-2
306,0.0,0.014634846238461906,000084-74-2
307,0.0,0.01468267253335884,000084-74-2
308,0.0,0.014730498828255775,000084-74-2
309,0.0,0.014778325123152709,000084-74-2
310,0.0,0.014826151418049644,000084-74-2
311,0.0,0.014873977712946579,000084-74-2
312,0.0,0.014921804007843513,000084-74-2
313,0.0,0.014969630302740447,000084-74-2
314,0.0,0.01501745659763738,000084-74-2
315,0.0,0.015065282892534315,000084-74-2
316,0.0,0.015113109187431249,000084-74-2
317,0.0,0.015160935482328185,000084-74-2
318,0.0,0.015208761777225119,000084-74-2
319,0.0,0.015256588072122053,000084-74-2
320,0.0,0.015304414367018987,000084-74-2
321,0.0,0.015352240661915921,000084-74-2
322,0.0,0.015400066956812855,000084-74-2
323,0.0,0.015447893251709791,000084-74-2
324,0.0,0.015495719546606725,000084-74-2
325,0.0,0.015543545841503659,000084-74-2
326,0.0,0.015591372136400593,000084-74-2
327,0.0,0.01563919843129753,000084-74-2
328,0.0,0.015687024726194463,000084-74-2
329,0.0,0.015734851021091397,000084-74-2
330,0.0,0.01578267731598833,000084-74-2
331,0.0,0.015830503610885265,000084-74-2
332,0.0,0.0158783299057822,000084-74-2
333,0.0,0.015926156200679133,000084-74-2
334,0.0,0.015973982495576067,000084-74-2
335,0.0,0.016021808790473,000084-74-2
336,0.0,0.016069635085369936,000084-74-2
337,0.0,0.01611746138026687,000084-74-2
338,0.0,0.016165287675163804,000084-74-2
339,0.0,0.016213113970060738,000084-74-2
340,0.0,0.016260940264957675,000084-74-2
341,0.0,0.01630876655985461,000084-74-2
342,0.0,0.016356592854751544,000084-74-2
343,0.0,0.016404419149648478,000084-74-2
344,0.0,0.01645224544454541,000084-74-2
345,0.0,0.016500071739442346,000084-74-2
346,0.0,0.01654789803433928,000084-74-2
347,0.0,0.016595724329236214,000084-74-2
348,0.0,0.016643550624133148,000084-74-2
349,0.0,0.016691376919030082,000084-74-2
350,0.0,0.016739203213927016,000084-74-2
351,0.0,0.01678702950882395,000084-74-2
352,0.0,0.016834855803720884,000084-74-2
353,0.0,0.016882682098617822,000084-74-2
354,0.0,0.016930508393514756,000084-74-2
355,0.0,0.01697833468841169,000084-74-2
356,0.0,0.017026160983308624,000084-74-2
357,0.0,0.017073987278205558,000084-74-2
358,0.0,0.017121813573102492,000084-74-2
359,0.0,0.017169639867999426,000084-74-2
360,0.0,0.01721746616289636,000084-74-2
361,0.0,0.017265292457793294,000084-74-2
362,0.0,0.01731311875269023,000084-74-2
363,0.0,0.017360945047587163,000084-74-2
364,0.0,0.017408771342484097,000084-74-2
365,0.0,0.01745659763738103,000084-74-2
366,0.0,0.017504423932277965,000084-74-2
367,0.0,0.017552250227174902,000084-74-2
368,0.0,0.017600076522071836,000084-74-2
369,0.0,0.01764790281696877,000084-74-2
370,0.0,0.017695729111865705,000084-74-2
371,0.0,0.01774355540676264,000084-74-2
372,0.0,0.017791381701659573,000084-74-2
373,0.0,0.017839207996556507,000084-74-2
374,0.0,0.01788703429145344,000084-74-2
375,0.0,0.017934860586350375,000084-74-2
376,0.0,0.01798268688124731,000084-74-2
377,0.0,0.018030513176144243,000084-74-2
378,0.0,0.018078339471041177,000084-74-2
379,0.0,0.01812616576593811,000084-74-2
380,0.0,0.01817399206083505,000084-74-2
381,0.0,0.018221818355731983,000084-74-2
382,0.0,0.018269644650628917,000084-74-2
383,0.0,0.01831747094552585,000084-74-2
384,0.0,0.018365297240422785,000084-74-2
385,0.0,0.01841312353531972,000084-74-2
386,0.0,0.018460949830216653,000084-74-2
387,0.0,0.018508776125113587,000084-74-2
388,0.0,0.01855660242001052,000084-74-2
389,0.0,0.018604428714907455,000084-74-2
390,0.0,0.01865225500980439,000084-74-2
391,0.0,0.018700081304701324,000084-74-2
392,0.0,0.018747907599598258,000084-74-2
393,0.0,0.018795733894495195,000084-74-2
394,0.0,0.01884356018939213,000084-74-2
395,0.0,0.018891386484289063,000084-74-2
396,0.0,0.018939212779185997,000084-74-2
397,0.0,0.01898703907408293,000084-74-2
398,0.0,0.019034865368979866,000084-74-2
399,0.0,0.0190826916638768,000084-74-2
400,0.0,0.019130517958773734,000084-74-2
401,0.0,0.019178344253670668,000084-74-2
402,0.0,0.019226170548567602,000084-74-2
403,0.0,0.019273996843464536,000084-74-2
404,0.0,0.01932182313836147,000084-74-2
405,0.0,0.019369649433258404,000084-74-2
406,0.0,0.019417475728155338,000084-74-2
407,0.0,0.019465302023052276,000084-74-2
408,0.0,0.01951312831794921,000084-74-2
409,0.0,0.019560954612846144,000084-74-2
410,0.0,0.019608780907743078,000084-74-2
411,0.0,0.019656607202640012,000084-74-2
412,0.0,0.019704433497536946,000084-74-2
413,0.0,0.01975225979243388,000084-74-2
414,0.0,0.019800086087330814,000084-74-2
415,0.0,0.019847912382227748,000084-74-2
416,0.0,0.019895738677124682,000084-74-2
417,0.0,0.019943564972021616,000084-74-2
418,0.0,0.01999139126691855,000084-74-2
419,0.0,0.020039217561815485,000084-74-2
420,0.0,0.020087043856712422,000084-74-2
421,0.0,0.020134870151609356,000084-74-2
422,0.0,0.02018269644650629,000084-74-2
423,0.0,0.020230522741403224,000084-74-2
424,0.0,0.02027834903630016,000084-74-2
425,0.0,0.020326175331197092,000084-74-2
426,0.0,0.020374001626094027,000084-74-2
427,0.0,0.02042182792099096,000084-74-2
428,0.0,0.020469654215887895,000084-74-2
429,0.0,0.02051748051078483,000084-74-2
430,0.0,0.020565306805681763,000084-74-2
431,0.0,0.020613133100578697,000084-74-2
432,0.0,0.02066095939547563,000084-74-2
433,0.0,0.02070878569037257,000084-74-2
434,0.0,0.020756611985269503,000084-74-2
435,0.0,0.020804438280166437,000084-74-2
436,0.0,0.02085226457506337,000084-74-2
437,0.0,0.020900090869960305,000084-74-2
438,0.0,0.02094791716485724,000084-74-2
439,0.0,0.020995743459754173,000084-74-2
440,0.0,0.021043569754651107,000084-74-2
441,0.0,0.02109139604954804,000084-74-2
442,0.0,0.021139222344444975,000084-74-2
443,0.0,0.02118704863934191,000084-74-2
444,0.0,0.021234874934238843,000084-74-2
445,0.0,0.021282701229135777,000084-74-2
446,0.0,0.02133052752403271,000084-74-2
447,0.0,0.02137835381892965,000084-74-2
448,0.0,0.021426180113826583,000084-74-2
449,0.0,0.021474006408723517,000084-74-2
450,0.0,0.02152183270362045,000084-74-2
451,0.0,0.021569658998517385,000084-74-2
