,exp,cdf,chemi
82,0.009005186430038477,0.003921756181548616,000117-81-7
83,0.009050565506675073,0.00396958247644555,000117-81-7
84,0.009097170929413647,0.004017408771342484,000117-81-7
85,0.009137550941651147,0.004065235066239419,000117-81-7
86,0.009187105219216788,0.004113061361136353,000117-81-7
87,0.009232343666637355,0.004160887656033287,000117-81-7
88,0.009275064800317636,0.004208713950930221,000117-81-7
89,0.009321332951575494,0.004256540245827156,000117-81-7
90,0.009360336126864226,0.00430436654072409,000117-81-7
91,0.009396087112448761,0.004352192835621024,000117-81-7
92,0.009430192412644537,0.004400019130517959,000117-81-7
93,0.009466226275830235,0.004447845425414893,000117-81-7
94,0.009497941488348642,0.004495671720311827,000117-81-7
95,0.009532393144254117,0.004543498015208762,000117-81-7
96,0.009559726849361582,0.004591324310105696,000117-81-7
97,0.009593202131553574,0.00463915060500263,000117-81-7
98,0.009621406222049232,0.004686976899899564,000117-81-7
99,0.009645903668273916,0.004734803194796499,000117-81-7
100,0.009676318199999256,0.004782629489693433,000117-81-7
101,0.009704409247214593,0.0048304557845903675,000117-81-7
102,0.009739369582457658,0.0048782820794873024,000117-81-7
103,0.009767429614759043,0.0049261083743842365,000117-81-7
104,0.0097996919245241,0.004973934669281171,000117-81-7
105,0.009823913975277699,0.0050217609641781055,000117-81-7
106,0.009848328191964325,0.00506958725907504,000117-81-7
107,0.009875565503599663,0.005117413553971974,000117-81-7
108,0.00990138624250524,0.005165239848868908,000117-81-7
109,0.009928602758640898,0.005213066143765843,000117-81-7
110,0.009954580222985482,0.005260892438662777,000117-81-7
111,0.009981122004945199,0.005308718733559711,000117-81-7
112,0.010006910688569525,0.005356545028456646,000117-81-7
113,0.010033248926275651,0.00540437132335358,000117-81-7
114,0.010058700095017557,0.005452197618250514,000117-81-7
115,0.010085905081622635,0.005500023913147449,000117-81-7
116,0.010107201984421513,0.005547850208044383,000117-81-7
117,0.010126964049775927,0.005595676502941317,000117-81-7
118,0.01015067488682207,0.005643502797838251,000117-81-7
119,0.010174426268567403,0.005691329092735186,000117-81-7
120,0.01019614243070055,0.00573915538763212,000117-81-7
121,0.010219242085031643,0.005786981682529054,000117-81-7
122,0.010243852917841014,0.005834807977425989,000117-81-7
123,0.01026718980123174,0.005882634272322923,000117-81-7
124,0.0102852241439919,0.005930460567219857,000117-81-7
125,0.01030471738811244,0.005978286862116792,000117-81-7
126,0.010325095226769046,0.006026113157013726,000117-81-7
127,0.010344309185311602,0.00607393945191066,000117-81-7
128,0.010364654261253003,0.006121765746807594,000117-81-7
129,0.010383450417892808,0.006169592041704529,000117-81-7
130,0.010401896198109922,0.0062174183366014634,000117-81-7
131,0.010421019556733573,0.0062652446314983975,000117-81-7
132,0.010440004114990315,0.0063130709263953325,000117-81-7
133,0.010458650299964845,0.0063608972212922665,000117-81-7
134,0.01047877222869402,0.006408723516189201,000117-81-7
135,0.010496400750938275,0.0064565498110861355,000117-81-7
136,0.010516075228727823,0.00650437610598307,000117-81-7
137,0.010534749187420313,0.006552202400880004,000117-81-7
138,0.010553094085253224,0.006600028695776938,000117-81-7
139,0.010572377334264471,0.006647854990673873,000117-81-7
140,0.010589383822818418,0.006695681285570807,000117-81-7
141,0.01060618199008873,0.006743507580467741,000117-81-7
142,0.010622276006134117,0.006791333875364676,000117-81-7
143,0.01063881095976565,0.00683916017026161,000117-81-7
144,0.010653691601884467,0.006886986465158544,000117-81-7
145,0.010670929742632567,0.006934812760055479,000117-81-7
146,0.010685825371042805,0.006982639054952413,000117-81-7
147,0.01069799331466527,0.007030465349849347,000117-81-7
148,0.01071282888793665,0.007078291644746281,000117-81-7
149,0.010727304045972575,0.007126117939643216,000117-81-7
150,0.010743526854341325,0.00717394423454015,000117-81-7
151,0.010760987342532679,0.007221770529437084,000117-81-7
152,0.010774055148633943,0.007269596824334019,000117-81-7
153,0.010786978880766825,0.007317423119230953,000117-81-7
154,0.010801033427058649,0.007365249414127887,000117-81-7
155,0.010813938475288973,0.007413075709024822,000117-81-7
156,0.010828177062428062,0.007460902003921756,000117-81-7
157,0.01084122354042577,0.00750872829881869,000117-81-7
158,0.010854006036341568,0.0075565545937156245,000117-81-7
159,0.010867061962182647,0.007604380888612559,000117-81-7
160,0.010879888198914864,0.0076522071835094935,000117-81-7
161,0.010894080849161984,0.0077000334784064275,000117-81-7
162,0.01090921091337882,0.0077478597733033625,000117-81-7
163,0.010921340471955112,0.0077956860682002966,000117-81-7
164,0.010933892906704013,0.007843512363097232,000117-81-7
165,0.010945945659295034,0.007891338657994166,000117-81-7
166,0.010959505849724868,0.0079391649528911,000117-81-7
167,0.010971474585183936,0.007986991247788034,000117-81-7
168,0.010984329759947056,0.008034817542684968,000117-81-7
169,0.010996186465327176,0.008082643837581902,000117-81-7
170,0.011008429151530805,0.008130470132478838,000117-81-7
171,0.011021079791950638,0.008178296427375772,000117-81-7
172,0.011033314711775748,0.008226122722272706,000117-81-7
173,0.01104477537384542,0.00827394901716964,000117-81-7
174,0.01105657803964576,0.008321775312066574,000117-81-7
175,0.011069036202860198,0.008369601606963508,000117-81-7
176,0.01108052416792946,0.008417427901860442,000117-81-7
177,0.011092941773036168,0.008465254196757378,000117-81-7
178,0.011105572012546734,0.008513080491654312,000117-81-7
179,0.011118457057920668,0.008560906786551246,000117-81-7
180,0.011130829349419351,0.00860873308144818,000117-81-7
181,0.011141291276032046,0.008656559376345114,000117-81-7
182,0.011150867995370364,0.008704385671242048,000117-81-7
183,0.01116220445099946,0.008752211966138982,000117-81-7
184,0.011171702980530272,0.008800038261035918,000117-81-7
185,0.011181854547772865,0.008847864555932852,000117-81-7
186,0.011193115303130562,0.008895690850829786,000117-81-7
187,0.01120377419104551,0.00894351714572672,000117-81-7
188,0.011216340118342822,0.008991343440623654,000117-81-7
189,0.01122618875169134,0.009039169735520589,000117-81-7
190,0.011235362410897044,0.009086996030417524,000117-81-7
191,0.011245227836815953,0.009134822325314458,000117-81-7
192,0.01125749437099446,0.009182648620211393,000117-81-7
193,0.011268280509898183,0.009230474915108327,000117-81-7
194,0.01127813933569511,0.00927830121000526,000117-81-7
195,0.011288816183892263,0.009326127504902195,000117-81-7
196,0.011298102382847586,0.009373953799799129,000117-81-7
197,0.011309456136671822,0.009421780094696065,000117-81-7
198,0.011320313935530507,0.009469606389592999,000117-81-7
199,0.011330845556035913,0.009517432684489933,000117-81-7
200,0.011340947457222377,0.009565258979386867,000117-81-7
201,0.011352245934339535,0.009613085274283801,000117-81-7
202,0.011360340549923987,0.009660911569180735,000117-81-7
203,0.01136914130232663,0.009708737864077669,000117-81-7
204,0.011380573278589063,0.009756564158974605,000117-81-7
205,0.01139063846148205,0.009804390453871539,000117-81-7
206,0.011400069095218053,0.009852216748768473,000117-81-7
207,0.011410985406593214,0.009900043043665407,000117-81-7
208,0.011419268292312282,0.009947869338562341,000117-81-7
209,0.01142815912711079,0.009995695633459275,000117-81-7
