,exposure,chemi
316,0.0,000117-81-7
317,0.0,000117-81-7
318,0.0,000117-81-7
319,0.0,000117-81-7
320,0.0,000117-81-7
321,0.0,000117-81-7
322,0.0,000117-81-7
323,0.0,000117-81-7
324,0.0,000117-81-7
325,0.0,000117-81-7
326,0.0,000117-81-7
327,0.0,000117-81-7
328,0.0,000117-81-7
329,0.0,000117-81-7
330,5.072541472340426e-06,000117-81-7
331,0.0,000117-81-7
332,0.0,000117-81-7
333,0.0,000117-81-7
334,0.0,000117-81-7
335,1.7834463024726862e-08,000117-81-7
336,0.0,000117-81-7
337,0.0,000117-81-7
338,0.0,000117-81-7
339,0.0,000117-81-7
340,0.0,000117-81-7
341,0.0,000117-81-7
342,0.0,000117-81-7
343,3.647395524324325e-05,000117-81-7
344,0.0,000117-81-7
345,0.0,000117-81-7
346,0.0,000117-81-7
347,0.0,000117-81-7
348,0.0,000117-81-7
349,0.0,000117-81-7
350,0.0,000117-81-7
351,0.0,000117-81-7
352,0.0,000117-81-7
353,0.0,000117-81-7
354,0.0,000117-81-7
355,0.0,000117-81-7
356,0.0,000117-81-7
357,0.0,000117-81-7
358,0.0,000117-81-7
359,0.0,000117-81-7
360,0.0,000117-81-7
361,3.43207920864865e-05,000117-81-7
362,0.0,000117-81-7
363,0.0,000117-81-7
364,0.0,000117-81-7
365,0.0,000117-81-7
366,0.0,000117-81-7
367,0.0,000117-81-7
368,0.0,000117-81-7
369,0.0,000117-81-7
370,0.0,000117-81-7
371,0.0,000117-81-7
372,0.0,000117-81-7
373,0.0,000117-81-7
374,0.0,000117-81-7
375,0.0,000117-81-7
376,0.0,000117-81-7
377,0.0,000117-81-7
378,0.0,000117-81-7
379,0.0,000117-81-7
380,0.0,000117-81-7
381,0.0,000117-81-7
382,0.0,000117-81-7
383,0.0,000117-81-7
384,0.0,000117-81-7
385,0.0,000117-81-7
386,0.0,000117-81-7
387,0.0,000117-81-7
388,0.0,000117-81-7
389,0.0,000117-81-7
390,0.0,000117-81-7
391,0.0,000117-81-7
392,0.0,000117-81-7
393,0.0,000117-81-7
394,0.0,000117-81-7
395,0.0,000117-81-7
396,0.0,000117-81-7
397,0.0,000117-81-7
398,0.0,000117-81-7
399,0.0,000117-81-7
400,0.0,000117-81-7
401,0.0,000117-81-7
402,0.0,000117-81-7
403,0.0,000117-81-7
404,0.0,000117-81-7
405,0.0,000117-81-7
406,0.0,000117-81-7
407,0.0,000117-81-7
408,0.0,000117-81-7
409,0.0,000117-81-7
410,0.0,000117-81-7
411,0.0,000117-81-7
412,0.0,000117-81-7
413,0.0,000117-81-7
414,0.0,000117-81-7
415,0.0,000117-81-7
416,0.0,000117-81-7
417,0.0,000117-81-7
418,0.0,000117-81-7
419,0.0,000117-81-7
420,0.0,000117-81-7
421,0.0,000117-81-7
422,0.0,000117-81-7
423,0.0,000117-81-7
424,0.0,000117-81-7
425,0.0,000117-81-7
426,0.0,000117-81-7
427,0.0,000117-81-7
428,0.0,000117-81-7
429,0.0,000117-81-7
430,0.0,000117-81-7
431,0.0,000117-81-7
432,0.0,000117-81-7
433,0.0,000117-81-7
434,0.0,000117-81-7
435,0.0,000117-81-7
436,0.0,000117-81-7
437,0.0,000117-81-7
438,0.0,000117-81-7
439,0.0,000117-81-7
440,0.0,000117-81-7
441,0.0,000117-81-7
442,0.0,000117-81-7
443,0.0,000117-81-7
444,0.0,000117-81-7
445,0.0,000117-81-7
446,0.0,000117-81-7
447,0.0,000117-81-7
448,0.0,000117-81-7
449,0.0,000117-81-7
450,0.0,000117-81-7
451,0.0,000117-81-7
452,0.0,000117-81-7
453,0.0,000117-81-7
454,0.0,000117-81-7
455,0.0,000117-81-7
456,0.0,000117-81-7
457,0.0,000117-81-7
458,0.0,000117-81-7
459,0.0,000117-81-7
460,0.0,000117-81-7
461,0.0,000117-81-7
462,0.0,000117-81-7
463,0.0,000117-81-7
464,0.0,000117-81-7
465,0.0,000117-81-7
466,0.0,000117-81-7
467,0.0,000117-81-7
468,0.0,000117-81-7
469,0.0,000117-81-7
470,0.0,000117-81-7
471,0.0,000117-81-7
472,0.0,000117-81-7
473,0.0,000117-81-7
474,0.0,000117-81-7
475,0.0,000117-81-7
476,0.0,000117-81-7
477,0.0,000117-81-7
478,0.0,000117-81-7
479,0.0,000117-81-7
480,0.0,000117-81-7
481,0.0,000117-81-7
482,0.0,000117-81-7
483,0.0,000117-81-7
484,1.681110765957447e-06,000117-81-7
485,0.0,000117-81-7
486,0.0,000117-81-7
487,0.0,000117-81-7
488,0.0,000117-81-7
489,0.0,000117-81-7
490,0.0,000117-81-7
491,0.0,000117-81-7
492,0.0,000117-81-7
493,0.0,000117-81-7
494,0.0,000117-81-7
495,0.0,000117-81-7
496,0.0,000117-81-7
497,0.0,000117-81-7
498,0.0,000117-81-7
499,0.0,000117-81-7
500,0.0,000117-81-7
501,0.0,000117-81-7
502,0.0,000117-81-7
503,0.0,000117-81-7
504,0.0,000117-81-7
505,0.0,000117-81-7
506,0.0,000117-81-7
507,0.0,000117-81-7
508,0.0,000117-81-7
509,0.0,000117-81-7
510,0.0,000117-81-7
511,0.0,000117-81-7
512,0.0,000117-81-7
513,0.0,000117-81-7
514,0.0,000117-81-7
515,0.0,000117-81-7
516,0.0,000117-81-7
517,0.0,000117-81-7
518,0.0,000117-81-7
519,0.0,000117-81-7
520,0.0,000117-81-7
521,0.0,000117-81-7
522,0.0,000117-81-7
523,0.0,000117-81-7
524,0.0,000117-81-7
525,0.0,000117-81-7
526,0.0,000117-81-7
527,0.0,000117-81-7
528,0.0,000117-81-7
529,0.0,000117-81-7
530,0.0,000117-81-7
531,0.0,000117-81-7
532,0.0,000117-81-7
533,0.0,000117-81-7
534,0.0,000117-81-7
535,0.0,000117-81-7
536,0.0,000117-81-7
537,0.0,000117-81-7
538,0.0,000117-81-7
539,0.0,000117-81-7
540,0.0,000117-81-7
541,0.0,000117-81-7
542,0.0,000117-81-7
543,0.0,000117-81-7
544,0.0,000117-81-7
545,0.0,000117-81-7
546,0.0,000117-81-7
547,0.0,000117-81-7
548,0.0,000117-81-7
549,0.0,000117-81-7
550,0.0,000117-81-7
551,0.0,000117-81-7
552,0.0,000117-81-7
553,0.0,000117-81-7
554,0.0,000117-81-7
555,0.0,000117-81-7
556,0.0,000117-81-7
557,1.4939902012650955e-08,000117-81-7
558,0.0,000117-81-7
559,0.0,000117-81-7
560,0.0,000117-81-7
561,0.0,000117-81-7
562,0.0,000117-81-7
563,0.0,000117-81-7
564,0.0,000117-81-7
565,0.0,000117-81-7
566,0.0,000117-81-7
567,0.0,000117-81-7
568,0.0,000117-81-7
569,0.0,000117-81-7
570,0.0,000117-81-7
571,0.0,000117-81-7
572,0.0,000117-81-7
573,3.566198010534791e-05,000117-81-7
574,0.0,000117-81-7
575,0.0,000117-81-7
576,0.0,000117-81-7
577,3.030465388108109e-05,000117-81-7
578,0.0,000117-81-7
579,0.0,000117-81-7
580,0.0,000117-81-7
581,0.0,000117-81-7
582,0.0,000117-81-7
583,0.0,000117-81-7
584,0.0,000117-81-7
585,0.0,000117-81-7
586,0.0,000117-81-7
587,0.0,000117-81-7
588,0.0,000117-81-7
589,0.0,000117-81-7
590,0.0,000117-81-7
591,0.0,000117-81-7
592,0.0,000117-81-7
593,0.0,000117-81-7
594,0.0,000117-81-7
595,0.0,000117-81-7
596,0.0,000117-81-7
597,0.0,000117-81-7
598,0.0,000117-81-7
599,0.0,000117-81-7
600,0.0,000117-81-7
601,0.0,000117-81-7
602,0.0,000117-81-7
603,0.0,000117-81-7
604,0.0,000117-81-7
605,0.0,000117-81-7
606,0.0,000117-81-7
607,5.8729231178378394e-05,000117-81-7
608,0.0,000117-81-7
609,0.0,000117-81-7
610,0.0,000117-81-7
611,0.0,000117-81-7
612,0.0,000117-81-7
613,0.0,000117-81-7
614,0.0,000117-81-7
615,1.866584840207016e-05,000117-81-7
616,0.0,000117-81-7
617,0.0,000117-81-7
618,0.0,000117-81-7
619,0.0,000117-81-7
620,0.0,000117-81-7
621,0.0,000117-81-7
622,0.0,000117-81-7
623,0.0,000117-81-7
624,0.0,000117-81-7
625,0.0,000117-81-7
626,0.0,000117-81-7
627,0.0,000117-81-7
628,0.0,000117-81-7
629,0.0,000117-81-7
630,0.0,000117-81-7
631,0.0,000117-81-7
632,0.0,000117-81-7
633,0.0,000117-81-7
634,0.0,000117-81-7
635,0.0,000117-81-7
636,0.0,000117-81-7
637,0.0,000117-81-7
638,0.0,000117-81-7
639,0.0,000117-81-7
640,0.0,000117-81-7
641,0.0,000117-81-7
642,0.0,000117-81-7
643,0.0,000117-81-7
644,0.0,000117-81-7
645,0.0,000117-81-7
646,1.0125080425531915e-06,000117-81-7
647,0.0,000117-81-7
648,0.0,000117-81-7
649,0.0,000117-81-7
650,0.0,000117-81-7
651,6.950036084186316e-06,000117-81-7
652,0.0,000117-81-7
653,0.0,000117-81-7
654,0.0,000117-81-7
655,0.0,000117-81-7
656,0.0,000117-81-7
657,0.0,000117-81-7
658,0.0,000117-81-7
659,0.0,000117-81-7
660,0.0,000117-81-7
661,0.0,000117-81-7
662,0.0,000117-81-7
663,0.0,000117-81-7
664,0.0,000117-81-7
665,0.0,000117-81-7
666,0.0,000117-81-7
667,0.0,000117-81-7
668,0.0,000117-81-7
669,0.0,000117-81-7
670,0.0,000117-81-7
671,0.0,000117-81-7
672,0.0,000117-81-7
673,0.0,000117-81-7
674,0.0,000117-81-7
675,0.0,000117-81-7
676,0.0,000117-81-7
677,0.0,000117-81-7
678,0.0,000117-81-7
679,0.0,000117-81-7
680,0.0,000117-81-7
681,2.0576761219091437e-05,000117-81-7
682,0.0,000117-81-7
683,0.0,000117-81-7
684,0.0,000117-81-7
685,0.0,000117-81-7
686,0.0,000117-81-7
687,0.0,000117-81-7
688,1.617487659574468e-07,000117-81-7
689,0.0,000117-81-7
690,0.0,000117-81-7
691,0.0,000117-81-7
692,0.0,000117-81-7
693,0.0,000117-81-7
694,0.0,000117-81-7
695,0.0,000117-81-7
696,0.0,000117-81-7
697,0.0,000117-81-7
698,0.0,000117-81-7
699,0.0,000117-81-7
700,0.0,000117-81-7
701,0.0,000117-81-7
702,0.0,000117-81-7
703,0.0,000117-81-7
704,0.0,000117-81-7
705,0.0,000117-81-7
706,0.0,000117-81-7
707,0.0,000117-81-7
708,0.0,000117-81-7
709,0.0,000117-81-7
710,0.0,000117-81-7
711,0.0,000117-81-7
712,0.0,000117-81-7
713,0.0,000117-81-7
714,0.0,000117-81-7
715,0.0,000117-81-7
716,0.0,000117-81-7
717,0.0,000117-81-7
718,0.0,000117-81-7
719,0.0,000117-81-7
720,0.0,000117-81-7
721,0.0,000117-81-7
722,0.0,000117-81-7
723,0.0,000117-81-7
724,0.0,000117-81-7
725,0.0,000117-81-7
726,0.0,000117-81-7
727,0.0,000117-81-7
728,0.0,000117-81-7
729,0.0,000117-81-7
730,0.0,000117-81-7
731,0.0,000117-81-7
732,0.0,000117-81-7
733,0.0,000117-81-7
734,0.0,000117-81-7
735,0.0,000117-81-7
736,0.0,000117-81-7
737,0.0,000117-81-7
738,0.0,000117-81-7
739,0.0,000117-81-7
740,0.0,000117-81-7
741,0.0,000117-81-7
742,0.0,000117-81-7
743,0.0,000117-81-7
744,0.0,000117-81-7
745,0.0,000117-81-7
746,0.0,000117-81-7
747,0.0,000117-81-7
748,0.0,000117-81-7
749,0.0,000117-81-7
750,0.0,000117-81-7
751,0.0,000117-81-7
752,0.0,000117-81-7
753,0.0,000117-81-7
754,0.0,000117-81-7
755,0.0,000117-81-7
756,0.0,000117-81-7
757,0.0,000117-81-7
758,0.0,000117-81-7
759,0.0,000117-81-7
760,0.0,000117-81-7
761,0.0,000117-81-7
762,0.0,000117-81-7
763,0.0,000117-81-7
764,0.0,000117-81-7
765,0.0,000117-81-7
766,0.0,000117-81-7
767,0.0,000117-81-7
768,0.0,000117-81-7
769,0.0,000117-81-7
770,0.0,000117-81-7
771,0.0,000117-81-7
772,0.0,000117-81-7
773,0.0,000117-81-7
774,0.0,000117-81-7
775,0.0,000117-81-7
776,0.0,000117-81-7
777,0.0,000117-81-7
778,0.0,000117-81-7
779,0.0,000117-81-7
780,0.0,000117-81-7
781,0.0,000117-81-7
782,0.0,000117-81-7
783,0.0,000117-81-7
784,0.0,000117-81-7
785,0.0,000117-81-7
786,0.0,000117-81-7
787,0.0,000117-81-7
788,0.0,000117-81-7
789,0.0,000117-81-7
790,0.0,000117-81-7
791,0.0,000117-81-7
792,0.0,000117-81-7
793,0.0,000117-81-7
794,0.0,000117-81-7
795,0.0,000117-81-7
796,0.0,000117-81-7
797,0.0,000117-81-7
798,0.0,000117-81-7
799,0.0,000117-81-7
800,0.0,000117-81-7
801,0.0,000117-81-7
802,0.0,000117-81-7
803,0.0,000117-81-7
804,0.0,000117-81-7
805,0.0,000117-81-7
806,0.0,000117-81-7
807,0.0,000117-81-7
808,0.0,000117-81-7
809,0.0,000117-81-7
810,0.0,000117-81-7
811,0.0,000117-81-7
812,0.0,000117-81-7
813,0.0,000117-81-7
814,0.0,000117-81-7
815,0.0,000117-81-7
816,0.0,000117-81-7
817,0.0,000117-81-7
818,0.0,000117-81-7
819,0.0,000117-81-7
820,0.0,000117-81-7
821,3.2113956066705014e-08,000117-81-7
822,0.0,000117-81-7
823,0.0,000117-81-7
824,0.0,000117-81-7
825,0.0,000117-81-7
826,0.0,000117-81-7
827,0.0,000117-81-7
828,0.0,000117-81-7
829,0.0,000117-81-7
